ID;EDAD;RANGO_EDAD;SITUACION;ANTIGUEDAD;EDUCACION;ESTADO_CIVIL;INGRESO;CNT_PRESTAMOS;DESTINO;CATEGORIA;COMPORTAMIENTO
2869203;62;mayor;dependiente;8;primaria;casado;10950000;9;consumo;A;bueno
1917773;24;joven;independiente;7;secundaria;casado;30050000;4;consumo;C;malo
1655653;21;joven;independiente;7;primaria;soltero;35950000;4;vivienda;A;bueno
1402086;33;joven-adulto;dependiente;13;secundaria;soltero;26550000;1;capital de trabajo;C;malo
1057303;43;adulto;independiente;7;primaria;casado;36050000;8;consumo;A;bueno
2094096;39;joven-adulto;dependiente;12;terciaria;soltero;32850000;4;consumo;A;bueno
1629920;58;mayor;dependiente;7;primaria;soltero;27950000;8;vivienda;B;bueno
1820034;46;adulto;independiente;5;terciaria;soltero;33250000;1;vivienda;A;bueno
2131141;43;adulto;independiente;1;secundaria;casado;23050000;9;capital de trabajo;B;bueno
1514455;34;joven-adulto;independiente;8;secundaria;casado;7100000;5;otros;A;bueno
2696623;58;mayor;independiente;11;secundaria;soltero;25850000;3;vehiculo;A;bueno
1320790;26;joven;independiente;12;secundaria;casado;24650000;3;consumo;A;malo
2281578;60;mayor;dependiente;10;primaria;casado;24450000;7;vehiculo;C;bueno
3282513;38;joven-adulto;dependiente;13;primaria;soltero;9800000;7;otros;C;malo
4232817;28;joven-adulto;independiente;13;primaria;casado;37150000;6;capital de trabajo;B;bueno
2565134;25;joven;independiente;13;primaria;soltero;10100000;4;consumo;C;malo
1902466;20;joven;independiente;15;terciaria;soltero;14850000;1;consumo;C;malo
1804413;30;joven-adulto;dependiente;10;secundaria;soltero;13750000;6;otros;B;bueno
2606204;61;mayor;dependiente;15;terciaria;soltero;13000000;1;consumo;C;malo
2568013;47;adulto;dependiente;7;primaria;soltero;24350000;1;consumo;C;malo
1365090;60;mayor;independiente;6;primaria;soltero;8100000;5;otros;C;bueno
2312974;25;joven;independiente;15;terciaria;soltero;10200000;1;capital de trabajo;C;malo
1721106;19;joven;independiente;3;secundaria;soltero;15350000;1;capital de trabajo;B;bueno
1653850;62;mayor;independiente;7;secundaria;casado;20350000;9;vivienda;C;malo
1633806;23;joven;dependiente;3;secundaria;soltero;20850000;1;consumo;A;malo
1970321;57;mayor;dependiente;5;secundaria;soltero;34650000;4;vivienda;C;malo
2682022;18;joven;independiente;9;terciaria;soltero;14150000;4;consumo;B;malo
3452727;20;joven;independiente;10;primaria;casado;28450000;2;otros;A;bueno
2572484;49;adulto;dependiente;4;primaria;soltero;25050000;6;otros;B;malo
1093439;32;joven-adulto;dependiente;12;secundaria;soltero;19050000;6;otros;C;malo
1912741;19;joven;dependiente;14;secundaria;casado;13750000;7;vivienda;B;bueno
1003316;30;joven-adulto;independiente;6;primaria;casado;37150000;4;vivienda;B;bueno
2210323;60;mayor;dependiente;3;primaria;casado;28750000;9;vivienda;A;bueno
2215471;60;mayor;independiente;6;secundaria;soltero;2300000;6;vehiculo;B;malo
3386141;50;adulto;dependiente;11;secundaria;casado;39450000;8;vivienda;A;bueno
1062171;50;adulto;independiente;14;terciaria;casado;27350000;3;otros;B;bueno
1559282;37;joven-adulto;independiente;13;primaria;casado;40350000;5;consumo;B;bueno
3644683;28;joven-adulto;dependiente;11;primaria;casado;40650000;4;consumo;C;bueno
2528303;41;adulto;independiente;4;secundaria;soltero;21750000;1;consumo;C;malo
2625955;40;joven-adulto;independiente;9;terciaria;soltero;26350000;9;consumo;B;malo
1028907;26;joven;independiente;14;terciaria;soltero;25650000;6;vivienda;B;bueno
2702066;26;joven;dependiente;14;secundaria;casado;3500000;9;capital de trabajo;A;malo
1546300;39;joven-adulto;independiente;7;terciaria;soltero;5300000;5;vivienda;B;malo
2589871;59;mayor;independiente;3;primaria;soltero;21550000;3;vivienda;A;malo
2368481;29;joven-adulto;dependiente;10;secundaria;casado;38050000;8;vivienda;C;malo
1638873;65;mayor;dependiente;1;secundaria;soltero;10700000;3;capital de trabajo;B;bueno
1454437;32;joven-adulto;independiente;4;terciaria;soltero;5300000;9;capital de trabajo;A;bueno
3251931;45;adulto;independiente;15;terciaria;soltero;12450000;4;consumo;B;malo
1678453;48;adulto;independiente;13;primaria;casado;4900000;5;vehiculo;C;malo
2686666;36;joven-adulto;independiente;15;terciaria;casado;10700000;7;otros;C;bueno
4611288;57;mayor;independiente;3;secundaria;soltero;35250000;7;otros;B;bueno
1666005;49;adulto;dependiente;10;terciaria;casado;27050000;6;consumo;A;bueno
2477400;31;joven-adulto;dependiente;13;primaria;soltero;4300000;3;otros;B;bueno
2477400;21;joven;independiente;10;primaria;casado;31050000;9;otros;C;malo
1294390;36;joven-adulto;independiente;1;secundaria;soltero;14800000;4;consumo;B;malo
3484230;22;joven;dependiente;2;secundaria;soltero;38550000;5;otros;A;bueno
2086739;49;adulto;independiente;4;terciaria;casado;11600000;5;otros;A;bueno
1188980;38;joven-adulto;independiente;13;primaria;casado;7900000;9;capital de trabajo;A;malo
1311920;37;joven-adulto;independiente;14;secundaria;casado;8700000;1;vivienda;A;malo
1564151;51;adulto;dependiente;5;primaria;soltero;24350000;5;vivienda;A;malo
2283716;42;adulto;dependiente;3;terciaria;soltero;4400000;1;consumo;A;bueno
1365573;47;adulto;independiente;11;terciaria;soltero;35450000;1;vehiculo;B;bueno
2411152;59;mayor;independiente;4;primaria;casado;7100000;8;vehiculo;B;malo
1211538;22;joven;dependiente;5;secundaria;casado;16950000;9;vivienda;B;bueno
1149846;42;adulto;independiente;14;secundaria;soltero;8600000;3;capital de trabajo;B;malo
2657164;54;adulto;independiente;12;terciaria;soltero;28750000;4;capital de trabajo;C;malo
1608452;24;joven;independiente;9;primaria;soltero;11000000;2;otros;C;malo
1894325;19;joven;independiente;8;secundaria;casado;20550000;9;vehiculo;C;malo
1560871;56;mayor;independiente;7;primaria;soltero;12000000;9;vivienda;A;bueno
3293768;35;joven-adulto;dependiente;6;primaria;casado;28250000;9;capital de trabajo;A;bueno
1210413;47;adulto;independiente;9;primaria;soltero;13550000;1;vehiculo;B;malo
4069500;40;joven-adulto;independiente;11;secundaria;casado;34450000;3;vivienda;B;bueno
1288703;24;joven;dependiente;10;secundaria;casado;36750000;5;capital de trabajo;B;bueno
2700743;27;joven;dependiente;9;primaria;casado;6500000;9;vehiculo;C;malo
1876070;55;adulto;independiente;2;primaria;soltero;29950000;9;otros;B;bueno
1874159;33;joven-adulto;dependiente;12;terciaria;casado;16950000;3;capital de trabajo;B;bueno
1809818;61;mayor;dependiente;3;terciaria;soltero;13350000;1;vivienda;B;bueno
1689631;22;joven;independiente;14;terciaria;soltero;29750000;3;vehiculo;A;bueno
1205440;51;adulto;independiente;12;primaria;casado;10400000;7;vivienda;B;bueno
2071887;43;adulto;independiente;12;secundaria;casado;29750000;7;vivienda;A;bueno
1106262;60;mayor;dependiente;5;terciaria;soltero;38750000;4;vivienda;C;malo
1153127;23;joven;independiente;1;primaria;casado;30650000;9;consumo;B;bueno
1976707;49;adulto;dependiente;15;secundaria;soltero;20150000;1;vehiculo;C;malo
3807000;33;joven-adulto;independiente;1;primaria;casado;32650000;4;vehiculo;B;bueno
5491850;20;joven;independiente;2;primaria;casado;15000000;1;vivienda;A;bueno
1895849;21;joven;dependiente;14;secundaria;casado;14050000;7;vivienda;A;bueno
1241260;35;joven-adulto;independiente;14;terciaria;casado;33350000;4;consumo;A;bueno
1835769;29;joven-adulto;independiente;1;terciaria;soltero;27950000;4;vehiculo;B;malo
1661651;63;mayor;dependiente;10;terciaria;casado;31450000;4;consumo;A;bueno
1001201;37;joven-adulto;independiente;10;primaria;casado;31150000;2;consumo;A;bueno
2085158;48;adulto;dependiente;8;terciaria;casado;7500000;8;capital de trabajo;B;bueno
1353331;22;joven;independiente;8;secundaria;casado;9000000;1;otros;A;malo
1097723;46;adulto;dependiente;10;secundaria;soltero;13450000;3;otros;C;malo
1055972;21;joven;independiente;14;secundaria;soltero;20350000;9;vehiculo;A;malo
1165191;57;mayor;independiente;4;terciaria;soltero;9500000;9;consumo;A;bueno
2500221;21;joven;independiente;7;terciaria;soltero;11750000;9;consumo;A;bueno
3948287;21;joven;independiente;9;terciaria;casado;11300000;5;vehiculo;B;malo
1413318;56;mayor;independiente;15;secundaria;casado;19050000;2;consumo;C;malo
1438652;30;joven-adulto;dependiente;5;terciaria;casado;23650000;5;otros;C;bueno
1247699;54;adulto;independiente;4;secundaria;casado;32250000;2;capital de trabajo;A;bueno
2335574;20;joven;independiente;10;secundaria;soltero;38450000;1;otros;A;bueno
1553198;60;mayor;dependiente;15;primaria;casado;16650000;8;consumo;C;malo
1281671;59;mayor;dependiente;2;secundaria;soltero;24550000;1;otros;C;malo
1010010;63;mayor;independiente;1;terciaria;casado;14350000;9;consumo;C;malo
1105025;24;joven;dependiente;5;secundaria;soltero;28750000;2;otros;B;malo
1682214;46;adulto;dependiente;7;terciaria;soltero;32950000;2;vivienda;C;malo
1528237;30;joven-adulto;dependiente;11;terciaria;soltero;22450000;3;otros;B;bueno
1523024;53;adulto;dependiente;12;primaria;casado;38550000;6;vehiculo;A;bueno
1518729;56;mayor;independiente;10;primaria;soltero;10800000;6;otros;C;bueno
1930790;48;adulto;dependiente;14;primaria;soltero;32250000;9;vehiculo;A;bueno
2290458;22;joven;dependiente;14;secundaria;casado;19850000;2;capital de trabajo;B;bueno
1247666;45;adulto;dependiente;3;secundaria;soltero;14200000;5;vehiculo;A;bueno
1085536;46;adulto;independiente;14;terciaria;casado;28650000;3;vehiculo;A;bueno
1413303;20;joven;dependiente;1;secundaria;soltero;26750000;2;otros;B;malo
3372732;46;adulto;independiente;8;primaria;soltero;32550000;3;vivienda;A;bueno
1998764;51;adulto;dependiente;6;terciaria;soltero;22950000;3;vehiculo;C;malo
2335351;48;adulto;dependiente;3;secundaria;casado;14850000;2;otros;C;malo
2012509;51;adulto;dependiente;3;secundaria;casado;30250000;5;otros;B;bueno
1472008;58;mayor;independiente;11;terciaria;soltero;2600000;2;vivienda;B;malo
4365652;36;joven-adulto;dependiente;9;terciaria;soltero;22850000;2;vehiculo;C;bueno
1217007;19;joven;independiente;3;terciaria;casado;16650000;4;consumo;B;malo
1210369;63;mayor;dependiente;13;primaria;soltero;31450000;4;otros;A;bueno
2023764;28;joven-adulto;dependiente;9;secundaria;soltero;13400000;4;vehiculo;B;malo
1251625;28;joven-adulto;independiente;12;secundaria;casado;7900000;8;vivienda;B;malo
1972895;34;joven-adulto;independiente;6;terciaria;soltero;33250000;6;vivienda;C;bueno
1843233;59;mayor;dependiente;4;terciaria;soltero;7900000;1;vehiculo;A;malo
1037080;33;joven-adulto;dependiente;3;terciaria;soltero;37250000;5;consumo;B;bueno
3927345;58;mayor;dependiente;15;terciaria;casado;9500000;2;otros;A;bueno
1741742;64;mayor;independiente;1;secundaria;casado;8000000;5;vehiculo;B;malo
1248141;46;adulto;dependiente;7;secundaria;soltero;11750000;8;vehiculo;A;bueno
1252007;30;joven-adulto;dependiente;10;primaria;casado;3900000;4;vehiculo;A;malo
1322841;50;adulto;independiente;3;primaria;soltero;6500000;9;capital de trabajo;B;bueno
1182373;40;joven-adulto;dependiente;7;secundaria;casado;31250000;2;capital de trabajo;A;bueno
1539251;21;joven;dependiente;15;secundaria;soltero;34950000;7;capital de trabajo;C;malo
1024343;20;joven;dependiente;11;secundaria;soltero;12950000;5;vehiculo;A;bueno
1322802;37;joven-adulto;independiente;7;secundaria;soltero;12550000;5;consumo;C;malo
1378236;27;joven;dependiente;9;primaria;soltero;12100000;2;capital de trabajo;C;malo
2411046;19;joven;independiente;8;primaria;casado;8800000;4;vehiculo;A;malo
2133123;50;adulto;independiente;8;terciaria;soltero;16150000;2;vehiculo;A;bueno
1999059;41;adulto;dependiente;12;secundaria;casado;35050000;9;capital de trabajo;B;bueno
2294207;64;mayor;independiente;14;primaria;soltero;12000000;3;capital de trabajo;B;bueno
1182541;29;joven-adulto;dependiente;2;terciaria;casado;14400000;3;consumo;B;malo
1819567;63;mayor;dependiente;10;terciaria;casado;33650000;1;capital de trabajo;A;bueno
1906376;50;adulto;dependiente;8;secundaria;soltero;25150000;4;capital de trabajo;A;bueno
1102322;19;joven;independiente;9;terciaria;soltero;6400000;9;vivienda;C;malo
3481025;38;joven-adulto;dependiente;7;terciaria;casado;6000000;6;otros;A;bueno
1403359;65;mayor;dependiente;3;primaria;casado;30950000;1;otros;B;bueno
1062649;26;joven;independiente;14;primaria;casado;11050000;7;capital de trabajo;C;malo
4456122;55;adulto;dependiente;4;secundaria;casado;33150000;4;capital de trabajo;A;bueno
2257194;44;adulto;independiente;5;secundaria;casado;26850000;4;otros;A;bueno
1390349;18;joven;independiente;4;terciaria;soltero;5300000;5;otros;B;malo
3197486;49;adulto;dependiente;7;secundaria;casado;14200000;1;otros;C;malo
1517813;47;adulto;independiente;11;primaria;soltero;9100000;2;otros;A;bueno
2045664;61;mayor;dependiente;9;secundaria;casado;39850000;8;capital de trabajo;B;bueno
1401160;39;joven-adulto;independiente;12;terciaria;casado;8200000;5;capital de trabajo;B;malo
1433113;52;adulto;independiente;9;primaria;casado;25550000;5;capital de trabajo;B;bueno
3767848;60;mayor;dependiente;6;terciaria;soltero;31150000;7;vivienda;A;bueno
2966547;47;adulto;independiente;3;terciaria;soltero;13250000;4;vehiculo;A;bueno
3826434;62;mayor;independiente;3;terciaria;soltero;31050000;3;vehiculo;A;bueno
2421503;19;joven;dependiente;12;secundaria;soltero;28550000;1;consumo;B;malo
2331972;42;adulto;independiente;3;secundaria;soltero;8000000;9;consumo;C;malo
2017808;40;joven-adulto;independiente;15;secundaria;soltero;22850000;5;otros;A;malo
1001660;39;joven-adulto;dependiente;6;primaria;soltero;34550000;6;vivienda;B;bueno
2506267;59;mayor;dependiente;15;primaria;soltero;18650000;8;consumo;B;malo
1924968;28;joven-adulto;dependiente;2;secundaria;soltero;24450000;5;consumo;A;bueno
2088612;55;adulto;dependiente;3;secundaria;casado;19450000;5;vivienda;A;bueno
2397621;18;joven;independiente;15;primaria;soltero;8500000;5;capital de trabajo;B;malo
1737495;21;joven;independiente;14;terciaria;soltero;6500000;6;vivienda;C;malo
3514821;43;adulto;independiente;9;primaria;soltero;6600000;1;otros;B;bueno
1741070;30;joven-adulto;dependiente;5;terciaria;soltero;10100000;4;vivienda;C;malo
3720428;47;adulto;independiente;5;secundaria;soltero;22050000;4;vivienda;B;malo
2599359;32;joven-adulto;dependiente;6;primaria;soltero;30350000;7;vehiculo;A;bueno
1741102;21;joven;independiente;4;terciaria;casado;9700000;3;consumo;A;bueno
1969005;37;joven-adulto;dependiente;1;secundaria;casado;22350000;1;capital de trabajo;A;bueno
2501415;22;joven;independiente;8;secundaria;soltero;9900000;6;otros;A;bueno
3254142;59;mayor;dependiente;4;primaria;soltero;36150000;2;otros;A;bueno
2088621;29;joven-adulto;independiente;5;terciaria;soltero;12900000;7;vivienda;A;bueno
1324985;57;mayor;dependiente;5;terciaria;soltero;38350000;4;vivienda;A;bueno
1853981;51;adulto;dependiente;9;primaria;soltero;34150000;5;otros;C;malo
3187201;54;adulto;independiente;7;primaria;soltero;38450000;2;vivienda;C;malo
3264192;60;mayor;independiente;10;primaria;casado;14350000;3;consumo;C;malo
2141868;50;adulto;dependiente;9;primaria;casado;5200000;6;capital de trabajo;B;bueno
2185816;58;mayor;independiente;13;secundaria;soltero;18550000;6;otros;C;malo
2105161;36;joven-adulto;dependiente;1;primaria;soltero;14400000;5;capital de trabajo;C;malo
1215204;43;adulto;dependiente;12;secundaria;casado;6600000;1;consumo;B;bueno
2669389;45;adulto;dependiente;12;terciaria;casado;27250000;9;otros;A;bueno
2822134;40;joven-adulto;dependiente;8;primaria;soltero;19850000;8;otros;A;bueno
2608660;31;joven-adulto;dependiente;4;secundaria;soltero;24450000;5;vehiculo;A;bueno
1688837;22;joven;dependiente;11;secundaria;soltero;38850000;2;consumo;B;bueno
1952249;54;adulto;dependiente;15;terciaria;soltero;11150000;5;consumo;A;bueno
1952177;65;mayor;independiente;5;primaria;soltero;7400000;4;capital de trabajo;C;bueno
5023954;38;joven-adulto;independiente;15;terciaria;soltero;22950000;9;consumo;B;malo
3584344;25;joven;dependiente;15;terciaria;casado;16850000;6;consumo;A;bueno
2488337;44;adulto;dependiente;4;secundaria;casado;38250000;9;vivienda;B;bueno
3541128;43;adulto;independiente;4;secundaria;soltero;23150000;8;consumo;B;bueno
4217852;63;mayor;dependiente;7;terciaria;soltero;12100000;5;vivienda;B;bueno
5272191;59;mayor;independiente;2;secundaria;casado;36450000;7;consumo;B;bueno
1652734;33;joven-adulto;independiente;6;primaria;casado;38150000;6;vehiculo;C;bueno
2812897;39;joven-adulto;dependiente;7;terciaria;casado;28350000;1;capital de trabajo;C;bueno
1587665;30;joven-adulto;independiente;15;primaria;casado;30050000;5;vehiculo;B;bueno
4641784;45;adulto;independiente;14;terciaria;soltero;23550000;6;vivienda;A;bueno
1019635;20;joven;dependiente;15;secundaria;casado;28650000;3;vivienda;B;malo
2415381;20;joven;independiente;8;terciaria;casado;20350000;3;otros;A;bueno
1288433;58;mayor;dependiente;1;terciaria;soltero;4500000;2;consumo;B;bueno
2539375;64;mayor;independiente;14;primaria;soltero;34650000;1;vehiculo;C;bueno
2128670;21;joven;dependiente;7;secundaria;casado;14850000;1;vivienda;C;malo
1173738;32;joven-adulto;dependiente;11;terciaria;soltero;7100000;4;consumo;C;malo
1819774;47;adulto;dependiente;15;terciaria;soltero;10000000;1;consumo;A;bueno
2651496;37;joven-adulto;independiente;10;primaria;casado;26350000;4;vivienda;A;malo
1450850;62;mayor;dependiente;6;terciaria;soltero;30950000;4;vivienda;B;bueno
1987657;47;adulto;dependiente;8;primaria;soltero;10950000;3;vehiculo;B;malo
1086829;35;joven-adulto;independiente;4;terciaria;soltero;3200000;2;vehiculo;C;malo
1079576;62;mayor;independiente;10;terciaria;casado;13050000;7;vehiculo;B;malo
1069931;56;mayor;dependiente;8;secundaria;soltero;15650000;4;vivienda;B;bueno
2591163;29;joven-adulto;dependiente;1;primaria;soltero;11200000;6;vivienda;B;bueno
1247216;54;adulto;independiente;9;secundaria;soltero;20350000;7;vivienda;B;bueno
1147044;29;joven-adulto;dependiente;8;primaria;casado;22350000;6;vivienda;C;bueno
1658723;53;adulto;dependiente;6;terciaria;soltero;14500000;4;consumo;B;malo
